problem_id,subject,level,english_complete,chinese_complete,english_correct,chinese_correct,english_tokens,chinese_tokens,english_output_tokens,chinese_output_tokens,english_answer,chinese_answer,expected_answer,token_ratio_cn_en,agreement,translation_tokens
1,Precalculus,1,True,True,True,True,954,1000,860,909,"(15, -29)","(15, -29)","(15,-29)",1.0482180293501049,True,0
2,Algebra,1,True,True,True,True,945,653,859,564,2000,2000,2000,0.691005291005291,True,0
3,Algebra,1,True,True,True,True,1193,1163,1125,1097,1600,1600,1600,0.9748533109807209,True,0
4,Counting & Probability,1,True,True,True,True,1025,922,923,828,\frac{1}{4},\frac{1}{4},\frac14,0.8995121951219512,True,273
5,Algebra,1,True,True,True,True,1098,1031,1022,949,7,7,7,0.9389799635701275,True,220
6,Algebra,1,True,True,True,True,752,829,690,769,1,1,1,1.1023936170212767,True,184
7,Precalculus,1,True,True,True,True,946,873,854,786,-41,-41,-41,0.9228329809725159,True,241
8,Algebra,1,True,True,True,True,1624,1555,1550,1484,350,350,350,0.9575123152709359,True,201
9,Prealgebra,1,True,True,True,True,1040,978,947,884,\frac{13}{15},\frac{13}{15},\frac{13}{15},0.9403846153846154,True,261
10,Algebra,1,True,True,True,True,924,770,858,713,4,4,4,0.8333333333333334,True,183
11,Algebra,1,True,True,True,True,1276,1042,1216,987,9901,9901,9901,0.8166144200626959,True,173
12,Algebra,1,True,True,True,True,915,1048,794,939,65,65,65,1.1453551912568305,True,289
13,Number Theory,1,True,True,True,True,532,772,476,718,0,0,0,1.4511278195488722,True,170
14,Intermediate Algebra,1,True,True,True,True,5221,2348,5133,2259,"-2, 1","1, -2","-2,1",0.44972227542616355,True,236
15,Prealgebra,1,True,True,True,True,1406,951,1342,889,1,1,1,0.6763869132290184,True,176
16,Algebra,1,True,True,True,True,988,890,918,823,18,18,18,0.9008097165991903,True,199
17,Algebra,1,True,True,True,True,1967,1920,1888,1844,4,4,4,0.9761057447890188,True,215
18,Algebra,1,True,True,True,True,1218,1158,1145,1088,47,47,47,0.9507389162561576,True,205
19,Algebra,1,True,True,True,True,993,878,919,805,11,11,11,0.8841893252769386,True,209
20,Prealgebra,1,True,True,True,True,1044,1258,957,1183,9,9,9,1.2049808429118773,True,228
21,Number Theory,1,True,True,True,True,1465,957,1362,870,2,2,2,0.6532423208191126,True,267
22,Algebra,1,True,True,True,True,1016,1074,953,1014,4,4,4,1.0570866141732282,True,185
23,Counting & Probability,1,True,True,True,True,1035,1114,951,1028,3,3,3,1.076328502415459,True,244
24,Prealgebra,1,True,True,True,True,1017,887,951,823,2,2,2,0.872173058013766,True,193
25,Number Theory,1,True,True,True,True,1387,1446,1327,1392,0,0,0,1.0425378514780101,True,170
26,Prealgebra,1,True,True,True,True,985,819,903,747,240,240,240,0.8314720812182741,True,231
27,Algebra,1,True,True,True,True,1933,1973,1865,1908,1,1,1,1.0206932229694774,True,196
28,Intermediate Algebra,1,True,True,True,True,1005,1289,945,1228,(a + 5)(b + 2),(a + 5)(b + 2),(a+5)(b+2),1.2825870646766169,True,182
29,Algebra,1,True,True,True,True,1235,1092,1157,1015,137\frac{1}{2},137\frac{1}{2},137 \frac{1}{2},0.8842105263157894,True,219
30,Intermediate Algebra,1,True,True,True,True,2427,1891,2326,1794,3,3,3,0.7791512154923774,True,270
31,Prealgebra,1,True,True,True,False,1662,1827,1573,1743,east,东,\text{east},1.0992779783393503,False,238
32,Precalculus,1,True,True,True,True,2167,1582,2011,1428,\sqrt{51},\sqrt{51},\sqrt{51},0.730041532071989,True,370
33,Geometry,1,True,True,True,True,6315,3089,6092,2864,180,180,180^\circ,0.48915281076801265,True,501
34,Intermediate Algebra,1,True,True,True,True,1832,1737,1742,1645,22,22,22,0.9481441048034934,True,238
35,Algebra,1,True,True,True,True,1649,1308,1585,1249,26000,26000,26000,0.7932080048514251,True,177
36,Number Theory,1,True,True,True,True,1471,1517,1394,1440,1,1,1,1.0312712440516656,True,212
37,Intermediate Algebra,1,True,True,True,True,1485,973,1422,914,22,22,22,0.6552188552188553,True,185
38,Prealgebra,1,True,True,True,True,1001,1060,932,989,4,4,4,1.0589410589410588,True,190
39,Intermediate Algebra,1,True,True,True,True,1156,906,1087,838,"(5, \infty)","(5, \infty)","(5,\infty)",0.7837370242214533,True,200
40,Number Theory,1,True,True,True,True,1472,1391,1375,1299,2,2,2,0.9449728260869565,True,244
41,Intermediate Algebra,1,True,True,True,True,1179,1642,1111,1578,-50,-50,-50,1.3927056827820186,True,188
42,Geometry,1,False,True,False,False,8385,6842,8191,6648,. i need to think about it,56,28,0.8159809183064997,True,440
43,Algebra,1,True,True,True,True,965,1028,854,918,10,10,10,1.0652849740932642,True,283
44,Number Theory,2,True,True,True,True,2012,1856,1910,1768,49,49,49,0.9224652087475149,True,252
